LYNSRIAL_FOUR_ARMS,Four Arms, Extra arms grant an additional non-movement action each round at no multi-action penalty. ,
LYNSRIAL_HUNTED_BY_THE_COALITION,Hunted by the Coalition, Lyn-Srial have the Wanted (Major) Hindrance with the CS for saving refugees of the Tolkeen war. ,
LYNSRIAL_INHERENT_NATURE,Inherent Nature, All Lyn-Srial have the Heroic Hindrance and count as supernaturally good. ,
LYNSRIAL_LOW_LIGHT_VISION,Low Light Vision, Lyn-Srial ignore penalties for Dim and Dark lighting. ,
LYNSRIAL_NON_STANDARD_PHYSIOLOGY,Non-Standard Physiology, Armor purchase/repair is double cost. Can’t use a Glitter Boy suit or other standard humanoid power armor. Suffer a -2 to operate a vehicle or its weapons not refitted for the race. Iconic Framework gear is custom-built. ,
LYNSRIAL_POOR_GROUND_SPEED,Poor Ground Speed, Lyn-Srial have -2 Pace (ground only) and a d4 running die. ,
LYNSRIAL_REGENERATION,Regeneration," Lyn-Srial make natural healing rolls once a day and may regenerate lost limbs. If a Lyn-Srial gains a permanent injury, she makes a Vigor roll after recovering from Incapacitation. On success, the injury heals after 1d6 days. ",
LYNSRIAL_STRONG,Strong, Lyn-Srial start with d6 Strength. ,
TRIMADORE_DISTINCTIVE_D_BEE,Distinctive D-Bee," Though humanoid, Trimadore are clearly inhuman. They face prejudice from the Coalition. They suffer -4 Charisma with such folks. ",
TRIMADORE_LONG_ARMS,Long Arms, The Trimadore have a Reach of 1. ,
TRIMADORE_MECHANICAL_SAVANT,Mechanical Savant," Trimadore are born with an innate capacity for working with and repairing machines. They begin with the Mr. Fix It Edge, ignoring any requirements. ",
TRIMADORE_NON_STANDARD_PHYSIOLOGY,Non-Standard Physiology," The unique physiology of a Trimadore makes it difficult for him to find armor he can use. Purchases and repairs are at least doubled in cost, and there’s no way he can manage a Glitter Boy suit or other power armor built for a typical humanoid frame. He also suffers -2 to checks made to operate a vehicle or its weapons not refitted for his race. Any gear gained from an Iconic Framework is assumed to be custom-built for the character. ",
TRIMADORE_TECHNICALLY_SAVVY,Technically Savvy," Trimadore love science and technology, studying all they can about such things from birth. Trimadore start with Repair d6 and their choice of one of the following at d6: Knowledge (Computers), Knowledge (Cybernetics), Knowledge (Electronics), or Knowledge (Engineering). ",
SIMVAN_ANIMAL_EMPATHY,Animal Empathy," A Simvan has a psionic connection to animals, granting the Beast Master Edge and Riding d6. ",
SIMVAN_APEX_PREDATOR,Apex Predator, Simvan consider themselves pinnacle predators; the ultimate victory is to defeat and consume an enemy. Simvan have the Bloodthirsty Hindrance and most know their deadly habits. ,
SIMVAN_DISTINCTIVE_D_BEE,Distinctive D-Bee, Simvan are clearly inhuman. They suffer -4 Charisma with CS citizens. ,
SIMVAN_INSTINCTS_OVER_INTELLECT,Instincts Over Intellect, Simvan act on their instincts. Intellectual pursuits are not common for them. They suffer a -1 penalty to all Smarts rolls. ,
SIMVAN_LOW_LIGHT_VISION,Low Light Vision, Simvan ignore penalties for Dim and Dark conditions. ,
SIMVAN_MONSTROUS_BEAST_AFFINITY,Monstrous Beast Affinity," Simvan have a natural affinity for large creatures. When using the beast friend power, they pay half the cost for a creature’s Size (effectively 1 ISP per +1 Size). Additionally, they may take a larger than normal creature with their Beast Master Edge as a mount (see the list above of common riding animals). ",
SIMVAN_NATURAL_PSIONICS,Natural Psionics," Simvan start with the Arcane Background (Psionics) Edge. Beast friend must be one of their first chosen powers. They start with 15 ISP instead of 10. If a Simvan chooses an Iconic Framework providing Arcane Background (Psionics), he follows all the normal rules for the Framework except he gains beast friend as a bonus power and gains +5 ISP in addition to what the Framework normally provides. ",
SIMVAN_RACIAL_ENEMY,Racial Enemy, Many Psi-Stalker and Simvan tribes have been at war for years. Meetings between them start argumentative and get worse. Simvan suffer -4 Charisma with wild Psi-Stalkers (Coalition Psi-Stalkers don’t like them just because they are D-Bees). ,
